上海移动,#genre#
CCTV14,https://zby.130519.xyz/PLTV/11/224/3221225738/index.m3u8?
CCTV14,https://zby.130519.xyz/PLTV/11/224/3221226150/index.m3u8?
CCTV15,https://zby.130519.xyz/PLTV/11/224/3221226147/index.m3u8?
CCTV16,https://zby.130519.xyz/PLTV/11/224/3221226120/index.m3u8?
金鹰卡通,https://zby.130519.xyz/PLTV/11/224/3221226094/index.m3u8?
哈哈炫动,https://zby.130519.xyz/PLTV/11/224/3221226161/index.m3u8?
哈哈炫动,https://zby.130519.xyz/PLTV/11/224/3221226175/index.m3u8?
卡酷少儿,https://zby.130519.xyz/PLTV/11/224/3221226019/index.m3u8?
嘉佳卡通,https://zby.130519.xyz/PLTV/11/224/3221226021/index.m3u8?
动漫秀场,https://zby.130519.xyz/PLTV/11/224/3221225764/index.m3u8?
动漫秀场,https://zby.130519.xyz/PLTV/11/224/3221226138/index.m3u8?
江苏卫视,https://zby.130519.xyz/PLTV/11/224/3221225720/index.m3u8?
黑龙江卫视,https://zby.130519.xyz/PLTV/11/224/3221225722/index.m3u8?
东方卫视,https://zby.130519.xyz/PLTV/11/224/3221225725/index.m3u8?
北京卫视,https://zby.130519.xyz/PLTV/11/224/3221225724/index.m3u8?
湖南卫视,https://zby.130519.xyz/PLTV/11/224/3221225726/index.m3u8?
浙江卫视,https://zby.130519.xyz/PLTV/11/224/3221225727/index.m3u8?
深圳卫视,https://zby.130519.xyz/PLTV/11/224/3221225728/index.m3u8?
湖北卫视,https://zby.130519.xyz/PLTV/11/224/3221225729/index.m3u8?
安徽卫视,https://zby.130519.xyz/PLTV/11/224/3221225739/index.m3u8?
江西卫视,https://zby.130519.xyz/PLTV/11/224/3221225740/index.m3u8?
天津卫视,https://zby.130519.xyz/PLTV/11/224/3221225742/index.m3u8?
广东卫视,https://zby.130519.xyz/PLTV/11/224/3221225731/index.m3u8?
山东卫视,https://zby.130519.xyz/PLTV/11/224/3221225733/index.m3u8?
东南卫视,https://zby.130519.xyz/PLTV/11/224/3221225745/index.m3u8?
辽宁卫视,https://zby.130519.xyz/PLTV/11/224/3221225747/index.m3u8?
西藏卫视,https://zby.130519.xyz/PLTV/11/224/3221225767/index.m3u8?
康巴卫视,https://zby.130519.xyz/PLTV/11/224/3221225773/index.m3u8?
厦门卫视,https://zby.130519.xyz/PLTV/11/224/3221226008/index.m3u8?
内蒙古卫视,https://zby.130519.xyz/PLTV/11/224/3221226011/index.m3u8?
西藏卫视,https://zby.130519.xyz/PLTV/11/224/3221226012/index.m3u8?
吉林卫视,https://zby.130519.xyz/PLTV/11/224/3221226082/index.m3u8?
广西卫视,https://zby.130519.xyz/PLTV/11/224/3221226084/index.m3u8?
陕西卫视,https://zby.130519.xyz/PLTV/11/224/3221226086/index.m3u8?
新疆卫视,https://zby.130519.xyz/PLTV/11/224/3221226088/index.m3u8?
甘肃卫视,https://zby.130519.xyz/PLTV/11/224/3221226090/index.m3u8?
宁夏卫视,https://zby.130519.xyz/PLTV/11/224/3221226092/index.m3u8?
河北卫视,https://zby.130519.xyz/PLTV/11/224/3221226107/index.m3u8?
青海卫视,https://zby.130519.xyz/PLTV/11/224/3221226105/index.m3u8?
东方卫视,https://zby.130519.xyz/PLTV/11/224/3221226106/index.m3u8?
云南卫视,https://zby.130519.xyz/PLTV/11/224/3221226109/index.m3u8?
兵团卫视,https://zby.130519.xyz/PLTV/11/224/3221226111/index.m3u8?
山西卫视,https://zby.130519.xyz/PLTV/11/224/3221226113/index.m3u8?
东方卫视,https://zby.130519.xyz/PLTV/11/224/3221226050/index.m3u8?
广西卫视,https://zby.130519.xyz/PLTV/11/224/3221226130/index.m3u8?
河南卫视,https://zby.130519.xyz/PLTV/11/224/3221226132/index.m3u8?
吉林卫视,https://zby.130519.xyz/PLTV/11/224/3221226149/index.m3u8?
云南卫视,https://zby.130519.xyz/PLTV/11/224/3221226151/index.m3u8?
四川卫视,https://zby.130519.xyz/PLTV/11/224/3221226152/index.m3u8?
海南卫视,https://zby.130519.xyz/PLTV/11/224/3221226154/index.m3u8?
重庆卫视,https://zby.130519.xyz/PLTV/11/224/3221226171/index.m3u8?
贵州卫视,https://zby.130519.xyz/PLTV/11/224/3221226173/index.m3u8?

CETV1,https://zby.130519.xyz/PLTV/11/224/3221225775/index.m3u8?
CETV4,https://zby.130519.xyz/PLTV/11/224/3221226153/index.m3u8?
CETV4,https://zby.130519.xyz/PLTV/11/224/3221226069/index.m3u8?
CGTN,https://zby.130519.xyz/PLTV/11/224/3221226016/index.m3u8?

东方财经,https://zby.130519.xyz/PLTV/11/224/3221226134/index.m3u8?
新闻综合,https://zby.130519.xyz/PLTV/11/224/3221226136/index.m3u8?
第一财经,https://zby.130519.xyz/PLTV/11/224/3221225737/index.m3u8?
五星体育,https://zby.130519.xyz/PLTV/11/224/3221225732/index.m3u8?
东方影视,https://zby.130519.xyz/PLTV/11/224/3221225744/index.m3u8?
上海都市,https://zby.130519.xyz/PLTV/11/224/3221225749/index.m3u8?
金色学堂,https://zby.130519.xyz/PLTV/11/224/3221225748/index.m3u8?
都市剧场,https://zby.130519.xyz/PLTV/11/224/3221225762/index.m3u8?
都市剧场,https://zby.130519.xyz/PLTV/11/224/3221226155/index.m3u8?
生活时尚,https://zby.130519.xyz/PLTV/11/224/3221225768/index.m3u8?
欢笑剧场,https://zby.130519.xyz/PLTV/11/224/3221225771/index.m3u8?
法治天地,https://zby.130519.xyz/PLTV/11/224/3221225994/index.m3u8?
游戏风云,https://zby.130519.xyz/PLTV/11/224/3221226117/index.m3u8?
游戏风云,https://zby.130519.xyz/PLTV/11/224/3221226140/index.m3u8?
乐游,https://zby.130519.xyz/PLTV/11/224/3221226157/index.m3u8?
乐游,https://zby.130519.xyz/PLTV/11/224/3221226115/index.m3u8?
睛彩竞技,https://zby.130519.xyz/PLTV/11/224/3221226116/index.m3u8?
睛彩篮球,https://zby.130519.xyz/PLTV/11/224/3221226118/index.m3u8?
睛彩广场舞,https://zby.130519.xyz/PLTV/11/224/3221226139/index.m3u8?

